# basis_Q=z basis_A=x n_shots=2048
# q_outcome a_outcome
-1 -1
1 -1
-1 -1
-1 1
1 1
-1 -1
-1 -1
-1 -1
1 1
1 -1
1 -1
-1 -1
-1 1
-1 -1
1 -1
1 1
-1 1
1 1
-1 -1
-1 1
-1 -1
1 -1
-1 -1
-1 -1
-1 -1
1 1
1 -1
1 1
1 1
-1 1
-1 1
-1 -1
1 -1
1 -1
1 -1
1 1
1 1
1 -1
1 1
-1 1
1 -1
-1 -1
-1 1
1 -1
-1 -1
-1 -1
1 -1
1 -1
-1 1
1 1
1 1
1 1
-1 -1
-1 1
-1 1
-1 -1
1 -1
-1 1
1 1
1 1
-1 1
1 -1
-1 1
-1 -1
-1 1
-1 1
-1 1
1 -1
1 1
1 -1
1 1
1 -1
-1 -1
1 1
1 1
1 -1
1 -1
-1 1
-1 1
-1 -1
-1 1
1 -1
-1 -1
1 1
1 1
1 1
-1 1
1 -1
1 1
-1 1
1 1
-1 1
1 -1
1 -1
1 -1
-1 1
1 -1
1 1
1 1
-1 -1
-1 -1
-1 1
1 -1
-1 -1
-1 -1
-1 1
1 -1
1 -1
1 1
-1 -1
1 -1
1 1
1 -1
-1 1
1 1
-1 -1
-1 -1
-1 1
1 -1
-1 1
-1 1
-1 1
1 1
1 -1
1 1
1 -1
1 -1
1 1
1 1
-1 1
1 1
-1 -1
-1 1
1 -1
-1 1
1 1
-1 -1
1 -1
-1 -1
1 1
1 -1
1 -1
-1 -1
-1 1
1 -1
1 -1
1 -1
-1 1
1 -1
1 1
-1 -1
-1 -1
1 1
-1 1
1 1
-1 1
1 -1
-1 1
-1 1
-1 -1
1 1
-1 -1
1 1
1 1
-1 1
1 -1
-1 -1
-1 -1
1 -1
-1 -1
1 -1
-1 1
1 -1
-1 -1
1 1
1 1
1 -1
-1 -1
-1 -1
-1 1
-1 -1
-1 -1
-1 1
1 -1
-1 -1
-1 1
1 -1
1 1
-1 1
1 -1
-1 -1
1 1
1 1
-1 -1
1 1
1 1
-1 1
-1 -1
1 1
1 -1
-1 -1
-1 -1
-1 1
1 1
1 1
1 1
1 1
-1 1
1 1
-1 1
-1 1
-1 1
1 1
-1 -1
-1 1
-1 1
1 1
1 1
-1 -1
1 -1
1 -1
1 -1
-1 1
-1 -1
1 -1
-1 -1
1 1
-1 1
-1 1
1 1
1 1
1 -1
-1 -1
-1 1
-1 -1
-1 -1
1 -1
-1 -1
1 1
1 1
-1 -1
-1 -1
1 1
-1 1
-1 1
-1 -1
-1 1
1 -1
1 -1
1 -1
-1 1
-1 -1
1 -1
1 1
1 1
-1 1
-1 -1
1 1
1 1
-1 1
1 1
-1 -1
1 -1
1 1
-1 -1
1 1
1 -1
1 1
1 1
1 1
1 1
1 1
1 1
-1 1
-1 1
1 -1
1 -1
-1 1
-1 -1
-1 -1
1 1
1 1
1 1
1 1
-1 1
1 -1
1 1
1 -1
-1 1
1 1
-1 -1
1 1
-1 -1
1 1
-1 -1
-1 -1
-1 -1
-1 -1
-1 -1
-1 1
-1 -1
1 1
-1 1
-1 1
-1 -1
1 -1
1 -1
-1 1
1 -1
1 1
1 -1
1 -1
1 1
1 -1
